"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SPRING 2012,,,,,,,,"PUBLICATION DATE:  FEBRUARY 6, 2012",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120121 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,5033 ,"Agr, Cons, Env Sci Communictn ",36,6,30,0,31,1,2,0,0,0,1,1,0,3,1,35,1,10KL5033BS
120121 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0049 ,Child and Adolescent Dev ,154,11,143,0,109,11,20,9,1,0,1,2,1,20,1,146,8,10KL0049BS
120121 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0050 ,Family Studies ,70,5,65,0,50,1,9,8,0,0,2,0,0,10,0,64,6,10KL0050BS
120121 ,KL ,793 ,MS ,0181 ,Agricultural Education ,  ,  ,9,1,8,0,8,0,0,0,0,0,1,0,0,0,0,7,2,10KS0181MS
120121 ,KL ,793 ,MS ,0181 ,Agricultural Education ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KS0181MSU
120121 ,KL ,793 ,MS ,0183 ,Human & Community Development ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KS0183MS
120121 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,  ,  ,20,4,16,0,13,1,2,0,0,0,1,3,0,2,0,7,13,10KS0183PHD
120121 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,5126 ,Human Development & Family St ,8,3,5,0,4,2,1,1,0,0,0,0,0,1,0,2,6,10KS0183PHD
120121 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0031 ,Agroecology ,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KL0031BS
120121 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0033 ,Crops ,25,21,4,0,23,0,1,0,1,0,0,0,0,1,1,25,0,10KL0033BS
