"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SUMMER 2013,,,,,,,,"PUBLICATION DATE:  AUGUST 26, 2013",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120135 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,5033 ,"Agr, Cons, Env Sci Communictn ",5,2,3,0,4,1,0,0,0,0,0,0,0,0,0,5,0,10KL5033BS
120135 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0050BS
120135 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0049 ,Child and Adolescent Dev ,27,2,25,0,15,3,4,2,0,0,2,1,0,6,1,25,2,10KL0049BS
120135 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0050 ,Family Studies ,8,1,7,0,4,0,2,2,0,0,0,0,0,2,0,8,0,10KL0050BS
120135 ,KL ,793 ,MS ,0181 ,Agricultural Education ,  ,  ,5,1,4,0,5,0,0,0,0,0,0,0,0,0,0,4,1,10KS0181MSU
120135 ,KL ,793 ,NONE ,0048 ,Human Development & Family St ,  ,  ,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,10KL0048NONE
120135 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,  ,  ,9,2,7,0,5,1,2,1,0,0,0,0,0,2,0,4,5,10KS0183PHD
120135 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,5126 ,Human Development & Family St ,7,2,5,0,5,1,0,1,0,0,0,0,0,0,0,2,5,10KS0183PHD
120135 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0031 ,Agroecology ,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10KL0031BS
120135 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0033 ,Crops ,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,10KL0033BS
120135 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0034 ,Crop Agribusiness ,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,10KL0034BS
120135 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0035 ,Plant Biotech & Molecular Bio ,10,7,3,0,7,0,1,0,0,0,0,2,0,1,0,8,2,10KL0035BS
120135 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0036 ,Biological Sciences ,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,10KL0036BS
120135 ,KL ,802 ,BS ,0063 ,Horticulture ,0065 ,Production and Management ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0065BS
120135 ,KL ,802 ,BS ,0063 ,Horticulture ,5301 ,Specialty Crops ,5,4,1,0,4,1,0,0,0,0,0,0,0,0,0,4,1,10KL0063BS
120135 ,KL ,802 ,MS ,0030 ,Crop Sciences ,  ,  ,34,15,19,0,21,1,1,1,0,0,2,8,0,1,0,20,14,10KS0030MS
