"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SUMMER 2010,,,,,,,,"PUBLICATION DATE:  JULY 28, 2010",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120105 ,KL ,802 ,MS ,0030 ,Crop Sciences ,  ,  ,31,23,8,0,20,2,0,0,0,0,0,8,1,0,0,16,15,10KS0030MS
120105 ,KL ,802 ,MS ,4026 ,Bioinformatics ,5100 ,Crop Science ,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,10KS5100MS
120105 ,KL ,802 ,PHD ,0030 ,Crop Sciences ,  ,  ,26,21,5,0,13,1,1,0,0,0,0,11,0,1,0,8,18,10KS0030PHD
120105 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0057BS
120105 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3871 ,Human Dimensions ,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10KL3871BS
120105 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3872 ,Resource Ecology ,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10KL3872BS
120105 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3873 ,Soil and Water Science ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10KL3873BS
120105 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5239 ,Humn Dimnsns of the Environmnt ,3,1,2,0,2,0,0,0,0,0,0,1,0,0,0,2,1,10KL0051BS
120105 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5240 ,Resrce Cons & Restoration Ecol ,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10KL0051BS
120105 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5241 ,Globl Chg & Landscape Dynamics ,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10KL0051BS
120105 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,  ,  ,28,18,10,0,21,2,0,1,0,0,0,4,0,0,0,14,14,10KS0190MS
120105 ,KL ,875 ,PHD ,0190 ,Natural Res & Env Sciences ,  ,  ,5,2,3,0,2,0,0,0,0,0,0,3,0,0,0,1,4,10KS0190PHD
120105 ,KL ,971 ,MS ,0191 ,Nutritional Sciences ,  ,  ,15,4,11,0,8,3,1,1,0,0,0,2,0,1,0,6,9,10KS0191MS
120105 ,KL ,971 ,PHD ,0191 ,Nutritional Sciences ,  ,  ,29,8,21,0,16,4,0,2,0,0,1,6,0,1,0,8,21,10KS0191PHD
120105 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,***College total*** ,581,272,309,0,352,38,38,21,0,0,6,122,4,40,1,359,222, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
120105 ,KM ,  ,  ,  ,Business ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120105 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,  ,  ,30,17,13,0,5,2,1,1,0,0,2,19,0,1,0,9,21,10KS9875MBA
120105 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,4064 ,MBA ,96,67,29,0,59,15,7,1,0,0,2,10,2,7,0,95,1,10KS4064MBA
120105 ,KM ,260 ,BS ,0075 ,Finance ,  ,  ,67,49,18,0,37,16,3,2,0,0,0,9,0,3,0,50,17,10KM0075BS
120105 ,KM ,260 ,MS ,0075 ,Finance ,  ,  ,116,65,51,0,7,10,0,0,0,0,0,98,1,0,0,6,110,10KS0075MSK
120105 ,KM ,260 ,PHD ,0075 ,Finance ,  ,  ,8,3,5,0,2,0,0,0,0,0,0,6,0,0,0,1,7,10KS0075PHD
120105 ,KM ,346 ,BS ,0071 ,Accountancy ,  ,  ,277,158,119,0,139,53,12,8,0,0,1,64,0,12,0,196,81,10KM0071BS
120105 ,KM ,346 ,MAS ,0071 ,Accountancy ,  ,  ,15,6,9,0,9,1,1,0,0,0,0,4,0,1,0,7,8,10KS0071MAS
120105 ,KM ,346 ,MAS ,0071 ,Accountancy ,5101 ,Taxation ,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10KS0071MAS
120105 ,KM ,346 ,MS ,0071 ,Accountancy ,  ,  ,131,23,108,0,5,6,0,0,0,0,0,120,0,0,0,4,127,10KS0071MSK
120105 ,KM ,346 ,MS ,5187 ,Taxation ,  ,  ,30,17,13,0,12,4,3,0,0,0,1,4,6,3,0,7,23,10KS5187MSK2
