"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,
SUMMER 2009,,,,,,,,"REVISED:  September 23, 2009",,,,,,,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,,,,
Revised to include academic program codes (on far right),,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,International,Unknown,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,
120095 ,KN ,570 ,PHD ,0093 ,Special Education ,  ,  ,9,3,6,0,6,1,1,0,0,1,0,5,4,10KS0093PHD
120095 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3962 ,ECh: Dance ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KN3962BS
120095 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3968 ,ECh: Language arts ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KN3968BS
120095 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3975 ,ECh: Psychology ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KN3975BS
120095 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,4014 ,ECh: Spanish ,2,0,2,0,1,0,0,1,0,0,0,2,0,10KN4014BS
120095 ,KN ,613 ,BS ,0095 ,Elementary Education ,3939 ,EIEd: Biology ,1,0,1,0,0,0,0,0,0,0,1,1,0,10KN3939BS
120095 ,KN ,613 ,BS ,0095 ,Elementary Education ,3946 ,EIEd: History ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KN3946BS
120095 ,KN ,613 ,BS ,0095 ,Elementary Education ,3947 ,EIEd: Language Arts ,1,0,1,0,0,0,1,0,0,0,0,1,0,10KN3947BS
120095 ,KN ,613 ,BS ,0095 ,Elementary Education ,3949 ,EIEd: Mathematics ,9,2,7,0,7,1,1,0,0,0,0,9,0,10KN3949BS
120095 ,KN ,613 ,BS ,0095 ,Elementary Education ,3954 ,ElEd: Psychology ,4,0,4,0,3,0,0,0,0,0,1,4,0,10KN3954BS
120095 ,KN ,613 ,BS ,0095 ,Elementary Education ,4004 ,EIEd: Spanish ,4,0,4,0,3,1,0,0,0,0,0,4,0,10KN4004BS
120095 ,KN ,613 ,EDD ,1144 ,Curriculum and Instruction ,  ,  ,3,0,3,0,1,1,1,0,0,0,0,3,0,10KS1144EDD
120095 ,KN ,613 ,EDM ,0095 ,Elementary Education ,  ,  ,10,0,10,0,8,0,1,1,0,0,0,10,0,10KS0095EDM
120095 ,KN ,613 ,EDM ,0095 ,Elementary Education ,0211 ,Elementary Ed - Cert ,8,3,5,0,6,0,1,1,0,0,0,8,0,10KS0211EDM
120095 ,KN ,613 ,EDM ,0215 ,Secondary & Continuing Educ ,  ,  ,4,0,4,0,4,0,0,0,0,0,0,4,0,10KS0215EDM
120095 ,KN ,613 ,EDM ,0215 ,Secondary & Continuing Educ ,0216 ,English Certification ,2,0,2,0,1,0,0,1,0,0,0,2,0,10KS0216EDM
120095 ,KN ,613 ,EDM ,1144 ,Curriculum and Instruction ,  ,  ,19,2,17,0,16,2,1,0,0,0,0,19,0,10KS1144EDM
120095 ,KN ,613 ,EDM ,8527 ,Secondary Education ,  ,  ,3,1,2,0,3,0,0,0,0,0,0,3,0,10KS8527EDM
120095 ,KN ,613 ,EDM ,8527 ,Secondary Education ,5224 ,English ,3,0,3,0,3,0,0,0,0,0,0,2,1,10KS8527EDM
120095 ,KN ,613 ,MA ,0095 ,Elementary Education ,  ,  ,1,0,1,0,0,0,0,0,0,1,0,0,1,10KS0095MA
120095 ,KN ,613 ,MA ,0215 ,Secondary & Continuing Educ ,  ,  ,1,0,1,0,0,0,0,0,0,1,0,0,1,10KS0215MA
120095 ,KN ,613 ,MA ,1144 ,Curriculum and Instruction ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KS1144MA
120095 ,KN ,613 ,MS ,0215 ,Secondary & Continuing Educ ,  ,  ,1,1,0,0,0,0,1,0,0,0,0,1,0,10KS0215MS
120095 ,KN ,613 ,MS ,1144 ,Curriculum and Instruction ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,1,10KS1144MS
