"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SUMMER 2011,,,,,,,,"PUBLICATION DATE:  JUNE 27, 2011",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120115 ,KM ,902 ,BS ,5073 ,Management ,5075 ,General Management ,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,6,1,10KM5073BS
120115 ,KM ,902 ,BS ,5073 ,Management ,5075 ,General Management ,2,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,10KM8037BS
120115 ,KM ,902 ,MS ,5148 ,Technology Management ,  ,  ,87,56,30,1,7,6,1,0,0,0,1,71,1,1,0,13,74,10KS5148MSK
120115 ,KM ,902 ,PHD ,0079 ,Business Administration ,  ,  ,9,5,4,0,1,1,1,0,0,0,0,6,0,1,0,1,8,10KS0079PHD
120115 ,KM ,938 ,MBA ,9875 ,Business Administration (MBA) ,  ,  ,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,10KS3924MBA2
120115 ,KM ,938 ,MBA ,9875 ,Business Administration (MBA) ,3924 ,Executive Program ,24,18,6,0,14,4,3,0,0,0,0,1,2,3,0,23,1,10KS3924MBA2
120115 ,KM ,952 ,NONE ,0070 ,Curric Unassigned ,  ,  ,54,30,24,0,27,11,2,6,0,0,1,5,2,3,0,39,15,10KM0070NONE
120115 ,KM ,  ,  ,  ,Business ,  ,***College total*** ,1052,550,500,2,346,124,31,30,0,0,7,497,17,35,1,481,571, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
120115 ,KN ,  ,  ,  ,Education ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120115 ,KN ,335 ,NONE ,4089 ,Pre-Early Chld/Elem Ed/Spec Ed ,  ,  ,7,0,7,0,4,2,0,0,0,0,1,0,0,0,1,7,0,10KN4089NONE
120115 ,KN ,570 ,BS ,0093 ,Special Education ,  ,  ,6,0,6,0,5,1,0,0,0,0,0,0,0,0,0,6,0,10KN0093BS
120115 ,KN ,570 ,CAS ,0093 ,Special Education ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10KS0093CAS
120115 ,KN ,570 ,EDM ,0093 ,Special Education ,  ,  ,28,6,22,0,24,0,2,1,0,0,0,1,0,2,0,25,3,10KS0093EDM
120115 ,KN ,570 ,EDM ,0093 ,Special Education ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KS0093EDMX
120115 ,KN ,570 ,MS ,0093 ,Special Education ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10KS0093MS
120115 ,KN ,570 ,PHD ,0093 ,Special Education ,  ,  ,19,2,17,0,12,0,3,1,0,0,0,3,0,3,0,10,9,10KS0093PHD
120115 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3967 ,ECh: History ,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KN3967BS
120115 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3975 ,ECh: Psychology ,2,0,2,0,0,0,1,1,0,0,0,0,0,1,0,1,1,10KN3975BS
120115 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3976 ,ECh: Sociology ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KN3976BS
120115 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,4014 ,ECh: Spanish ,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KN4014BS
120115 ,KN ,613 ,BS ,0095 ,Elementary Education ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KN0095BS
