"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRING 2015,,,,,,,,"PUBLICATION DATE:  FEBRUARY 13, 2015",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,,,,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,All students including multiracial and Hispanic,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
120151 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0031 ,Agroecology ,4,1,3,0,1,0,1,1,0,0,0,1,0,1,0,0,0,3,1,10KL0031BS
120151 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0033 ,Crops ,31,22,9,0,29,0,1,0,0,0,0,1,0,1,0,0,0,30,1,10KL0033BS
120151 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0034 ,Crop Agribusiness ,53,40,13,0,49,1,1,0,0,0,1,1,0,2,0,0,1,52,1,10KL0034BS
120151 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0035 ,Plant Biotech & Molecular Bio ,57,29,28,0,44,4,1,1,0,0,2,5,0,1,0,0,6,47,10,10KL0035BS
120151 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0036 ,Biological Sciences ,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10KL0036BS
120151 ,KL ,802 ,BS ,0030 ,Crop Sciences ,5123 ,Integrated Pest Management ,4,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,4,0,10KL5123BS
120151 ,KL ,802 ,BS ,0063 ,Horticulture ,5300 ,Sustainable Landscapes ,7,3,4,0,6,0,0,0,0,0,0,1,0,0,0,0,0,6,1,10KL0063BS
120151 ,KL ,802 ,BS ,0063 ,Horticulture ,5301 ,Specialty Crops ,21,5,16,0,14,3,0,4,0,0,0,0,0,0,0,0,3,18,3,10KL0063BS
120151 ,KL ,802 ,MS ,0030 ,Crop Sciences ,  ,  ,39,13,26,0,22,1,0,1,1,0,2,12,0,0,1,0,3,22,17,10KS0030MS
120151 ,KL ,802 ,MS ,0030 ,Crop Sciences ,  ,  ,4,2,2,0,3,0,0,0,0,0,1,0,0,0,0,0,1,3,1,10KS0030MSU
120151 ,KL ,802 ,MS ,4026 ,Bioinformatics ,5100 ,Crop Science ,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,10KS5100MS
